,country,comp_prim
0,Sierra Leone,0.5108834492325727
2,Thailand,0.9777664622102958
5,Mozambique,0.23805966531916656
7,Burkina Faso,0.2720731004007957
9,Chad,0.22549148099621102
12,China,0.9502266715072685
13,Timor-Leste,0.5409263415379567
15,Egypt,0.8195347228821586
16,Montenegro,0.9765061109154313
20,Nicaragua,0.6229523000052751
21,Mali,0.2579792803036531
22,Lao PDR,0.7119008192004492
23,Indonesia,0.8802213602900453
24,C. A. R.,0.22346731098891287
25,D. R. Congo,0.6039427430265479
26,Palestine,0.9904293875558682
27,Swaziland,0.6419000935582619
28,Pakistan,0.542286363591377
29,Ecuador,0.9375270535714287
30,Armenia,0.9969619415244277
32,U. R. Tanzania,0.6366724105283422
33,Somalia,0.048696777418213474
34,Serbia,0.950575753983566
36,Lesotho,0.671109525599825
39,Guatemala,0.6731761196679168
43,Suriname,0.7937413956413963
44,Ethiopia,0.3887395038865263
46,Gabon,0.5713862331408375
49,Turkey,0.9118352728796421
50,Mauritania,0.41303802058599065
53,Maldives,0.985045514369415
57,Saint Lucia,0.9925692812088998
58,Trinidad/Tobago,0.9723731631964025
61,Uruguay,0.9614755529623765
62,Sudan,0.6409159797468996
65,Ghana,0.646437243466719
66,Costa Rica,0.9269269239334833
67,Comoros,0.6892862147560307
71,South Sudan,0.4744608438145505
72,Uzbekistan,0.9841445036350734
74,Congo,0.6352926457255352
78,Honduras,0.7462072381860183
79,Malawi,0.47689386624213004
81,Peru,0.8709765572773894
82,Rwanda,0.39637158673090733
84,Afghanistan,0.4873829209070143
85,Cambodia,0.5337025441622396
86,Haiti,0.4454304643337182
87,Philippines,0.8780068847790492
88,"Bolivia, P. S.",0.8355657084366125
91,Guinea,0.312178141449566
92,Kazakhstan,0.9965618429658385
93,Israel,0.9993032807692307
94,Gambia,0.580401387248156
95,Uganda,0.3589250168054294
96,Nepal,0.662508824410731
97,Mongolia,0.9699469304535687
98,Barbados,0.9894745449225107
99,Jordan,0.9712455757828646
100,Argentina,0.9618781349537043
101,Bosnia/Herzeg.,0.9899192633628845
102,India,0.7839751403324545
104,Viet Nam,0.9082509167550689
105,Zimbabwe,0.8871599477412412
107,Colombia,0.8804266421678935
108,Kyrgyzstan,0.9946514965371883
109,Georgia,0.9820689962634558
110,Bhutan,0.6717290168781893
111,Chile,0.9740473410618841
113,United States,0.9945405368421049
115,Rep. Moldova,0.9878528425097466
118,Albania,0.9757444805059677
120,Madagascar,0.2889849865026376
121,Myanmar,0.816100382255119
122,Djibouti,0.5607449284348732
125,Dominican Rep.,0.798209940110904
126,Yemen,0.6236306237764494
127,Morocco,0.5483008833602071
129,Liberia,0.4418544539685051
130,TFYR Macedonia,0.9328326108705932
131,Belarus,0.9971163077013833
132,Ukraine,0.9966537680314935
133,El Salvador,0.8662129652580158
134,Jamaica,0.9879051453687928
136,Mexico,0.9651178250508828
137,Benin,0.4142582306536424
138,Zambia,0.639242000990501
139,Syrian A. R.,0.9103384362494392
140,Nigeria,0.7198518770056034
142,Belize,0.8645771947038833
143,Niger,0.20893038277728
144,S. Tome/Principe,0.7058869367267223
145,Burundi,0.23650684831319033
146,Panama,0.9130208293596903
148,Cameroon,0.6283289415124337
149,Tajikistan,0.9807891249656677
150,Guinea-Bissau,0.30238344080699897
151,Russian Fed.,0.9983564823529413
153,Senegal,0.3877662237881139
154,Kenya,0.7349952402615682
155,Bangladesh,0.6653166106321954
156,Guyana,0.9433555324472974
157,Tunisia,0.9447865559130298
159,Namibia,0.7097681432238055
161,C̫te d'Ivoire,0.39569582549572097
162,Togo,0.47477127501320654
163,Iraq,0.5945441943105096
165,Azerbaijan,0.9750490099191665
166,Brazil,0.7969523531640624
